CRE,Cod. INEP,Município,Latitude,Longitude,Idt. Estab,Designação,Denominação,Endereço,Fone,CEP,Cod.Munic.IBGE (7)
1,43106595,Porto Alegre,"-30,03175522","-51,14193746",10659,Col Estadual,Japão,R Enrico Caruso 444,5133345666,91215300,4314902
1,43106609,Porto Alegre,"-30,05769761","-51,1435228",10660,Esc Est Ens Fun,Érico Veríssimo,R Comendador Eduardo Secco Sn,5133861155,91440160,4314902
1,43106617,Porto Alegre,"-30,06771274","-51,17392827",10661,Esc Est Ens Fun,Jerônimo de Albuquerque,R Juarez Tavora 550,5133156810,91520100,4314902
1,43106625,Porto Alegre,"-30,07522804","-51,19171143",10662,Esc Est Ens Fun,Jerônimo de Ornelas,R Sao Miguel 487 ==,(51) 98486-6555,91710330,4314902
1,43106633,Porto Alegre,"-30,00437764","-51,18123938",10663,Esc Est Ens Med,Professor Júlio Grau,Av Brino 350,5133429858,91030280,4314902
1,43106641,Porto Alegre,"-30,06307407","-51,15975553",10664,Esc Est Ens Fun,Prof Edgar Luiz Schneider,Av Elias Cirne Lima 100,5133360022,91530310,4314902
1,43106650,Porto Alegre,"-30,05512854","-51,14994739",10665,Esc Est Ens Fun,Dr Herophilo Carvalho de Azambuja,R Rua Viuvinha 277,5133867155,91430817,4314902
1,43106668,Porto Alegre,"-30,04067667","-51,22585982",10666,Esc Est Ens Fun,Professora Leopolda Barnewitz,R Joao Alfredo 443,5132283682,90050230,4314902
1,43106676,Porto Alegre,"-30,04667171","-51,18863538",10667,Esc Est Ens Fun,Professor Leopoldo Tietbohl,R Riveira 400,5133310128,90670160,4314902
1,43106684,Porto Alegre,"-30,04020769","-51,21172383",10668,Esc Est Ens Fun,Lúciana de Abreu,R Rua General Jacinto Osorio 60,5132232220,90040290,4314902
1,43106692,Porto Alegre,"-30,11199071","-51,15335884",10669,Esc Est Ens Fun,Luiz Gama,R Rua Honduras 115,(51) 3246-1988,91787302,4314902
1,43106706,Porto Alegre,"-30,09200179","-51,23078752",10670,Esc Est Ens Fun,Machado de Assis,R Xavier da Cunha 680,(51) 3266-2787,90830430,4314902
1,43106714,Porto Alegre,"-30,07088943","-51,1780782",10671,Esc Est Ens Fun,Madre Maria Selima,R Tenente Ary Tarragô 130,5133367300,91510390,4314902
1,43106722,Porto Alegre,"-29,98581633","-51,12800337",10672,Esc Est Ens Fun,Major Miguel José Pereira,R Jackson de Figueiredo 675,5133648244,91120380,4314902
1,43106757,Porto Alegre,"-30,02785402","-51,25268687",10675,Esc Est Ens Fun,Maria José Mabilde,R Presidente Vargas 129,5132116332,90090000,4314902
1,43106765,Porto Alegre,"-30,03576779","-51,10686053",10676,Esc Est Ens Med,Mariz e Barros,Av Del Ely Correa Prado 915,5133871444,91260300,4314902
1,43106773,Porto Alegre,"-30,15456388","-51,19916791",10677,Esc Est Ens Fun,Matias de Albuquerque,Av Juca Batista 3450,5132647148,91755000,4314902
1,43106781,Porto Alegre,"-30,0641607","-51,21066322",10678,Esc Est Ens Fun,Medianeira,R General Gomes Carneiro 45,5132234496,90870310,4314902
1,43106790,Porto Alegre,"-30,03822622","-51,16358971",10679,Esc Est Ed Bas,Monsenhor Leopoldo Hoff,R Moema 255,5133818551,91330500,4314902
1,43106803,Porto Alegre,"-30,10794118","-51,24945961",10680,Esc Est Ens Fun,Monsenhor Roberto Landell de Moura,R José Gomes 400,5132681021,91910280,4314902
